"alk_käyttö","poissaolot","terveys","opisk_aika","ikä","parisuhde","huoltaja","netti"
"1",1,5,3,2,18,1,2,1
"2",1,3,3,2,17,1,1,2
"3",2.5,8,3,2,15,1,2,2
"4",1,1,5,3,15,2,2,2
"5",1.5,2,5,2,16,1,1,1
"6",1,4,1,2,17,1,2,1
"7",1.5,1,2,2,15,1,2,2
"8",1,2,4,3,15,1,1,2
"9",1.5,5,2,1,16,1,2,2
"10",1.5,8,2,3,16,1,2,2
"11",1,3,4,2,16,1,2,1
"12",1,2,5,3,15,1,2,2
"13",2,10,5,1,16,1,2,2
"14",1,2,5,1,15,1,1,1
"15",1,2,5,3,15,1,2,2
"16",1,8,2,1,15,1,2,1
"17",1.5,20,3,2,16,2,2,2
"18",2,14,5,2,16,1,1,2
"19",1,6,5,2,15,2,2,2
"20",2.5,9,3,2,16,1,2,2
"21",1,2,3,2,15,1,1,2
"22",2.5,1,4,2,16,1,2,2
"23",1,1,5,2,15,1,2,2
"24",2.5,0,5,1,15,1,2,2
"25",4,3,1,1,15,1,2,2
"26",1,5,2,2,16,2,2,2
"27",1,0,1,2,15,1,2,2
"28",1,2,5,2,16,1,2,2
"29",2.5,3,4,2,16,1,2,1
"30",5,3,5,1,16,2,1,2
"31",1,2,1,2,16,1,1,2
"32",3,1,4,3,16,1,2,2
"33",3,0,2,2,15,2,1,2
"34",1.5,2,1,2,16,1,2,2
"35",1.5,2,5,4,16,1,2,2
"36",2,1,4,2,15,1,2,2
"37",2.5,9,3,4,15,1,1,2
"38",3,2,5,2,15,2,2,2
"39",3,29,5,2,16,1,2,2
"40",2,0,3,4,16,2,2,2
"41",1.5,13,3,2,16,1,2,2
"42",1,7,5,2,15,1,2,2
"43",2.5,2,4,2,15,1,1,2
"44",2.5,5,5,2,15,2,1,2
"45",1.5,5,2,2,16,1,2,1
"46",2,4,1,3,15,1,2,2
"47",2,1,4,3,16,2,2,2
"48",2,5,1,1,15,1,2,2
"49",2.5,2,2,2,16,1,1,1
"50",1,1,1,2,16,1,2,2
"51",1,3,1,4,15,1,2,2
"52",1,1,5,2,16,2,2,1
"53",1.5,5,1,1,16,1,2,2
"54",1,1,3,3,16,1,2,2
"55",1,21,2,2,15,1,2,2
"56",1,10,4,4,15,1,1,1
"57",1,6,3,4,15,1,2,2
"58",1,3,4,3,16,2,2,2
"59",1,2,2,3,16,1,1,2
"60",1,9,5,2,16,1,2,2
"61",1.5,1,1,2,15,1,2,2
"62",1.5,2,5,2,16,2,1,2
"63",1,0,5,2,16,2,2,2
"64",1,0,1,2,15,2,2,2
"65",1,1,5,2,19,1,3,1
"66",2,0,5,3,15,2,1,2
"67",1.5,3,4,1,15,2,2,2
"68",2,7,5,1,17,2,1,2
"69",2.5,14,5,1,16,1,1,2
"70",1,2,5,3,15,2,2,2
"71",1,2,5,1,16,2,3,2
"72",1,3,5,1,15,1,2,2
"73",1,2,5,3,15,1,2,2
"74",3,3,1,1,16,1,2,2
"75",1.5,0,5,2,15,1,1,2
"76",1,1,3,2,15,1,1,2
"77",1,4,5,2,15,1,2,2
"78",2.5,5,3,3,15,2,3,2
"79",1,0,4,1,17,2,2,1
"80",3,6,4,1,18,1,2,1
"81",1,0,3,2,16,2,1,2
"82",1,0,4,2,16,1,2,2
"83",1,0,3,2,16,2,2,2
"84",1,0,3,2,16,2,2,2
"85",1,2,4,2,16,1,2,2
"86",2.5,1,5,2,16,1,2,2
"87",2.5,0,5,2,17,1,1,1
"88",2.5,44,1,2,17,2,2,2
"89",1.5,11,1,2,16,1,2,2
"90",2,8,3,2,17,2,2,2
"91",1,8,2,2,16,1,2,2
"92",1,0,3,2,17,1,2,2
"93",1,4,5,2,17,2,1,2
"94",2.5,27,2,1,17,1,2,2
"95",1.5,0,3,2,16,1,2,2
"96",3,2,2,2,16,1,2,2
"97",2,5,4,2,16,1,2,1
"98",2,2,1,2,17,1,2,1
"99",1.5,20,3,1,17,1,2,2
"100",1,6,5,4,16,1,2,2
"101",3.5,21,5,3,17,2,2,2
"102",2,4,4,2,16,1,2,2
"103",1,7,1,2,16,2,2,2
"104",2.5,4,5,1,16,1,2,1
"105",1,3,4,3,17,2,2,2
"106",1.5,7,3,4,19,1,3,2
"107",1,0,4,2,16,1,2,2
"108",1.5,9,3,1,17,1,2,1
"109",2,2,1,2,17,1,2,2
"110",3,19,1,2,17,2,2,2
"111",2.5,4,3,1,17,1,1,1
"112",1,2,4,3,17,1,2,2
"113",1.5,1,5,2,17,1,2,2
"114",1,6,5,3,17,2,2,1
"115",1,1,3,2,16,1,2,2
"116",1,2,5,3,16,1,2,2
"117",1,10,4,2,18,2,2,2
"118",2,6,3,2,17,1,2,2
